,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,SG_UF_RESIDENCIA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
2962,3161650,São Geraldo do Baixio,MG,474.58500000000004,539.9522727272728,490.82727272727277,489.41499999999996,424.54545454545456
2963,3161700,São Gonçalo do Abaeté,MG,484.75873015873015,553.9602941176471,510.61911764705883,529.3920634920635,482.94117647058823
2964,3161809,São Gonçalo do Pará,MG,494.53499999999997,572.8326530612245,531.6823129251701,547.2742857142857,514.8299319727892
2965,3161908,São Gonçalo do Rio Abaixo,MG,501.31640625,576.7253787878788,526.6352272727273,540.103125,535.7575757575758
2966,3162005,São Gonçalo do Sapucaí,MG,499.2448979591837,576.0995762711865,533.8826271186441,559.5408163265306,539.1949152542373
2967,3162104,São Gotardo,MG,489.5015,564.2452071005918,520.4958579881657,535.920625,491.59763313609466
2968,3162203,São João Batista do Glória,MG,502.24388489208627,565.9965277777778,523.9312500000001,553.4237410071942,560.2777777777778
2969,3162252,São João da Lagoa,MG,472.0068376068376,546.0923728813559,498.78474576271185,514.9564102564103,471.35593220338984
2970,3162302,São João da Mata,MG,520.4296296296296,595.7666666666667,558.1266666666667,585.8333333333334,566.6666666666666
2971,3162401,São João da Ponte,MG,465.9163265306122,542.213725490196,491.21988795518206,499.62419825072885,463.3613445378151
2972,3162450,São João das Missões,MG,446.8489082969432,512.2409594095941,455.3929889298893,472.0082969432314,373.9483394833948
2973,3162500,São João del Rei,MG,518.4440700363396,597.6891763963396,551.7078889239508,573.213875123885,570.5774692331966
2974,3162559,São João do Manhuaçu,MG,483.36547619047616,546.8403508771929,506.206432748538,522.4785714285714,529.9415204678363
2975,3162575,São João do Manteninha,MG,474.09558823529414,561.2540540540541,510.50270270270266,512.5397058823529,464.3243243243243
2976,3162609,São João do Oriente,MG,484.6176923076923,549.7192592592593,506.0888888888889,530.2392307692309,495.4074074074074
2977,3162658,São João do Pacuí,MG,487.7604166666667,555.5880000000001,516.078,515.2208333333333,499.6
2978,3162708,São João do Paraíso,MG,479.4421658986175,562.6785557986871,513.7940919037198,531.4483870967742,490.4595185995624
2979,3162807,São João Evangelista,MG,497.1153266331658,575.0263285024155,529.2113526570048,535.8856783919598,502.07729468599035
2980,3162906,São João Nepomuceno,MG,514.1965367965367,589.7496868475992,542.929018789144,570.7863636363636,568.2672233820459
2981,3162922,São Joaquim de Bicas,MG,503.24688221709005,574.6097402597403,529.4993506493507,535.3632794457275,498.9177489177489
2982,3162948,São José da Barra,MG,512.0903225806452,576.1075757575758,535.1863636363637,567.9629032258064,541.8181818181819
2983,3162955,São José da Lapa,MG,499.8160409556314,581.2344155844156,539.8415584415585,544.5725255972696,525.1623376623377
2984,3163003,São José da Safira,MG,474.58043478260873,545.4921568627451,494.8764705882353,514.9108695652175,492.54901960784315
2985,3163102,São José da Varginha,MG,492.50350877192983,568.516393442623,520.4377049180328,506.5807017543859,501.6393442622951
2986,3163201,São José do Alegre,MG,487.4310344827586,561.8327868852459,517.7131147540983,552.9844827586206,509.1803278688525
2987,3163300,São José do Divino,MG,468.608,542.4842105263158,493.4719298245614,499.404,482.4561403508772
2988,3163409,São José do Goiabal,MG,504.60921052631585,567.8367088607595,527.020253164557,555.8171052631578,484.0506329113924
